Expression	Value	Location	Type	
[625]	3.3299999233	0x20001E3C	float	
[626]	3.3299999233	0x20001E40	float	
[627]	3.3299999233	0x20001E44	float	
[628]	3.3299999233	0x20001E48	float	
[629]	3.3299999233	0x20001E4C	float	
[630]	3.3299999233	0x20001E50	float	
[631]	3.3299999233	0x20001E54	float	
[632]	3.3299999233	0x20001E58	float	
[633]	3.3299999233	0x20001E5C	float	
[634]	3.3299999233	0x20001E60	float	
[635]	3.3299999233	0x20001E64	float	
[636]	3.3299999233	0x20001E68	float	
[637]	3.3299999233	0x20001E6C	float	
[638]	3.3299999233	0x20001E70	float	
[639]	3.3299999233	0x20001E74	float	
[640]	3.3299999233	0x20001E78	float	
[641]	3.3299999233	0x20001E7C	float	
[642]	3.3299999233	0x20001E80	float	
[643]	3.3299999233	0x20001E84	float	
[644]	3.3299999233	0x20001E88	float	
[645]	3.3299999233	0x20001E8C	float	
[646]	3.3299999233	0x20001E90	float	
[647]	3.3299999233	0x20001E94	float	
[648]	3.3299999233	0x20001E98	float	
[649]	3.3299999233	0x20001E9C	float	
[650]	3.3299999233	0x20001EA0	float	
[651]	3.3299999233	0x20001EA4	float	
[652]	3.3299999233	0x20001EA8	float	
[653]	3.3299999233	0x20001EAC	float	
[654]	3.3299999233	0x20001EB0	float	
[655]	3.3299999233	0x20001EB4	float	
[656]	3.3299999233	0x20001EB8	float	
[657]	3.3299999233	0x20001EBC	float	
[658]	3.3299999233	0x20001EC0	float	
[659]	3.3299999233	0x20001EC4	float	
[660]	3.3299999233	0x20001EC8	float	
[661]	3.3299999233	0x20001ECC	float	
[662]	3.3299999233	0x20001ED0	float	
[663]	3.3299999233	0x20001ED4	float	
[664]	3.3299999233	0x20001ED8	float	
[665]	3.3299999233	0x20001EDC	float	
[666]	3.3299999233	0x20001EE0	float	
[667]	3.3299999233	0x20001EE4	float	
[668]	3.3299999233	0x20001EE8	float	
[669]	3.3299999233	0x20001EEC	float	
[670]	3.3299999233	0x20001EF0	float	
[671]	3.3299999233	0x20001EF4	float	
[672]	3.3299999233	0x20001EF8	float	
[673]	3.3299999233	0x20001EFC	float	
[674]	3.3299999233	0x20001F00	float	
[675]	3.3299999233	0x20001F04	float	
[676]	3.3299999233	0x20001F08	float	
[677]	3.3299999233	0x20001F0C	float	
[678]	3.3299999233	0x20001F10	float	
[679]	3.3299999233	0x20001F14	float	
[680]	3.3299999233	0x20001F18	float	
[681]	3.3299999233	0x20001F1C	float	
[682]	3.3299999233	0x20001F20	float	
[683]	3.3299999233	0x20001F24	float	
[684]	3.3299999233	0x20001F28	float	
[685]	3.3299999233	0x20001F2C	float	
[686]	3.3299999233	0x20001F30	float	
[687]	3.3299999233	0x20001F34	float	
[688]	3.3299999233	0x20001F38	float	
[689]	3.3299999233	0x20001F3C	float	
[690]	3.3299999233	0x20001F40	float	
[691]	3.3299999233	0x20001F44	float	
[692]	3.3299999233	0x20001F48	float	
[693]	3.3299999233	0x20001F4C	float	
[694]	3.3299999233	0x20001F50	float	
[695]	3.3299999233	0x20001F54	float	
[696]	3.3299999233	0x20001F58	float	
[697]	3.3299999233	0x20001F5C	float	
[698]	3.3299999233	0x20001F60	float	
[699]	3.3299999233	0x20001F64	float	
[700]	3.3299999233	0x20001F68	float	
[701]	3.3299999233	0x20001F6C	float	
[702]	3.3299999233	0x20001F70	float	
[703]	3.3299999233	0x20001F74	float	
[704]	3.3299999233	0x20001F78	float	
[705]	3.3299999233	0x20001F7C	float	
[706]	3.3299999233	0x20001F80	float	
[707]	3.3299999233	0x20001F84	float	
[708]	3.3299999233	0x20001F88	float	
[709]	3.3299999233	0x20001F8C	float	
[710]	3.3299999233	0x20001F90	float	
[711]	3.3299999233	0x20001F94	float	
[712]	3.3299999233	0x20001F98	float	
[713]	3.3299999233	0x20001F9C	float	
[714]	3.3299999233	0x20001FA0	float	
[715]	3.3299999233	0x20001FA4	float	
[716]	3.3299999233	0x20001FA8	float	
[717]	3.3299999233	0x20001FAC	float	
[718]	3.3299999233	0x20001FB0	float	
[719]	3.3299999233	0x20001FB4	float	
[720]	3.3299999233	0x20001FB8	float	
[721]	3.3299999233	0x20001FBC	float	
[722]	3.3299999233	0x20001FC0	float	
[723]	3.3299999233	0x20001FC4	float	
[724]	3.3299999233	0x20001FC8	float	
[725]	3.3299999233	0x20001FCC	float	
[726]	3.3299999233	0x20001FD0	float	
[727]	3.3299999233	0x20001FD4	float	
[728]	3.3299999233	0x20001FD8	float	
[729]	3.3299999233	0x20001FDC	float	
[730]	3.3299999233	0x20001FE0	float	
[731]	3.3299999233	0x20001FE4	float	
[732]	3.3299999233	0x20001FE8	float	
[733]	3.3299999233	0x20001FEC	float	
[734]	3.3299999233	0x20001FF0	float	
[735]	3.3299999233	0x20001FF4	float	
[736]	3.3299999233	0x20001FF8	float	
[737]	3.3299999233	0x20001FFC	float	
[738]	3.3299999233	0x20002000	float	
[739]	3.3299999233	0x20002004	float	
[740]	3.3299999233	0x20002008	float	
[741]	3.3299999233	0x2000200C	float	
[742]	3.3299999233	0x20002010	float	
[743]	3.3299999233	0x20002014	float	
[744]	3.3299999233	0x20002018	float	
[745]	3.3299999233	0x2000201C	float	
[746]	3.3299999233	0x20002020	float	
[747]	3.3299999233	0x20002024	float	
[748]	3.3299999233	0x20002028	float	
[749]	3.3299999233	0x2000202C	float	
[750]	3.3299999233	0x20002030	float	
[751]	3.3299999233	0x20002034	float	
[752]	3.3299999233	0x20002038	float	
[753]	3.3299999233	0x2000203C	float	
[754]	3.3299999233	0x20002040	float	
[755]	3.3299999233	0x20002044	float	
[756]	3.3299999233	0x20002048	float	
[757]	3.3299999233	0x2000204C	float	
[758]	3.3299999233	0x20002050	float	
[759]	3.3299999233	0x20002054	float	
[760]	3.3299999233	0x20002058	float	
[761]	3.3299999233	0x2000205C	float	
[762]	3.3299999233	0x20002060	float	
[763]	3.3299999233	0x20002064	float	
[764]	3.3299999233	0x20002068	float	
[765]	3.3299999233	0x2000206C	float	
[766]	3.3299999233	0x20002070	float	
[767]	3.3299999233	0x20002074	float	
[768]	3.3299999233	0x20002078	float	
[769]	3.3299999233	0x2000207C	float	
[770]	3.3299999233	0x20002080	float	
[771]	3.3299999233	0x20002084	float	
[772]	3.3299999233	0x20002088	float	
[773]	3.3299999233	0x2000208C	float	
[774]	3.3299999233	0x20002090	float	
[775]	3.3299999233	0x20002094	float	
[776]	3.3299999233	0x20002098	float	
[777]	3.3299999233	0x2000209C	float	
[778]	3.3299999233	0x200020A0	float	
[779]	3.3299999233	0x200020A4	float	
[780]	3.3299999233	0x200020A8	float	
[781]	3.3299999233	0x200020AC	float	
[782]	3.3299999233	0x200020B0	float	
[783]	3.3299999233	0x200020B4	float	
[784]	3.3299999233	0x200020B8	float	
[785]	3.3299999233	0x200020BC	float	
[786]	3.3299999233	0x200020C0	float	
[787]	3.3299999233	0x200020C4	float	
[788]	3.3299999233	0x200020C8	float	
[789]	3.3299999233	0x200020CC	float	
[790]	3.3299999233	0x200020D0	float	
[791]	3.3299999233	0x200020D4	float	
[792]	3.3299999233	0x200020D8	float	
[793]	3.3299999233	0x200020DC	float	
[794]	3.3299999233	0x200020E0	float	
[795]	3.3299999233	0x200020E4	float	
[796]	3.3299999233	0x200020E8	float	
[797]	3.3299999233	0x200020EC	float	
[798]	3.3299999233	0x200020F0	float	
[799]	3.3299999233	0x200020F4	float	
[800]	3.3299999233	0x200020F8	float	
[801]	3.3299999233	0x200020FC	float	
[802]	3.3299999233	0x20002100	float	
[803]	3.3299999233	0x20002104	float	
[804]	3.3299999233	0x20002108	float	
[805]	3.3299999233	0x2000210C	float	
[806]	3.3299999233	0x20002110	float	
[807]	3.3299999233	0x20002114	float	
[808]	3.3199999333	0x20002118	float	
[809]	3.3199999333	0x2000211C	float	
[810]	3.3199999333	0x20002120	float	
[811]	3.3199999333	0x20002124	float	
[812]	3.3199999333	0x20002128	float	
[813]	3.3199999333	0x2000212C	float	
[814]	3.3199999333	0x20002130	float	
[815]	3.3199999333	0x20002134	float	
[816]	3.3199999333	0x20002138	float	
[817]	3.3199999333	0x2000213C	float	
[818]	3.3199999333	0x20002140	float	
[819]	3.3199999333	0x20002144	float	
[820]	3.3199999333	0x20002148	float	
[821]	3.3199999333	0x2000214C	float	
[822]	3.3199999333	0x20002150	float	
[823]	3.3199999333	0x20002154	float	
[824]	3.3199999333	0x20002158	float	
[825]	3.3199999333	0x2000215C	float	
[826]	3.3199999333	0x20002160	float	
[827]	3.3199999333	0x20002164	float	
[828]	3.3199999333	0x20002168	float	
[829]	3.3199999333	0x2000216C	float	
[830]	3.3199999333	0x20002170	float	
[831]	3.3199999333	0x20002174	float	
[832]	3.3199999333	0x20002178	float	
[833]	3.3199999333	0x2000217C	float	
[834]	3.3199999333	0x20002180	float	
[835]	3.3199999333	0x20002184	float	
[836]	3.3199999333	0x20002188	float	
[837]	3.3199999333	0x2000218C	float	
[838]	3.3199999333	0x20002190	float	
[839]	3.3199999333	0x20002194	float	
[840]	3.3199999333	0x20002198	float	
[841]	3.3199999333	0x2000219C	float	
[842]	3.3199999333	0x200021A0	float	
[843]	3.3199999333	0x200021A4	float	
[844]	3.3199999333	0x200021A8	float	
[845]	3.3199999333	0x200021AC	float	
[846]	3.3199999333	0x200021B0	float	
[847]	3.3199999333	0x200021B4	float	
[848]	3.3199999333	0x200021B8	float	
[849]	3.3199999333	0x200021BC	float	
[850]	3.3199999333	0x200021C0	float	
[851]	3.3199999333	0x200021C4	float	
[852]	3.3199999333	0x200021C8	float	
[853]	3.3199999333	0x200021CC	float	
[854]	3.3199999333	0x200021D0	float	
[855]	3.3199999333	0x200021D4	float	
[856]	3.3199999333	0x200021D8	float	
[857]	3.3199999333	0x200021DC	float	
[858]	3.3199999333	0x200021E0	float	
[859]	3.3199999333	0x200021E4	float	
[860]	3.3199999333	0x200021E8	float	
[861]	3.3199999333	0x200021EC	float	
[862]	3.3199999333	0x200021F0	float	
[863]	3.3199999333	0x200021F4	float	
[864]	3.3199999333	0x200021F8	float	
[865]	3.3199999333	0x200021FC	float	
[866]	3.3199999333	0x20002200	float	
[867]	3.3199999333	0x20002204	float	
[868]	3.3199999333	0x20002208	float	
[869]	3.3199999333	0x2000220C	float	
[870]	3.3199999333	0x20002210	float	
[871]	3.3199999333	0x20002214	float	
[872]	3.3199999333	0x20002218	float	
[873]	3.3199999333	0x2000221C	float	
[874]	3.3199999333	0x20002220	float	
[875]	3.3199999333	0x20002224	float	
[876]	3.3199999333	0x20002228	float	
[877]	3.3199999333	0x2000222C	float	
[878]	3.3199999333	0x20002230	float	
[879]	3.3199999333	0x20002234	float	
[880]	3.3199999333	0x20002238	float	
[881]	3.3199999333	0x2000223C	float	
[882]	3.3199999333	0x20002240	float	
[883]	3.3199999333	0x20002244	float	
[884]	3.3199999333	0x20002248	float	
[885]	3.3199999333	0x2000224C	float	
[886]	3.3199999333	0x20002250	float	
[887]	3.3199999333	0x20002254	float	
[888]	3.3199999333	0x20002258	float	
[889]	3.3199999333	0x2000225C	float	
[890]	3.3199999333	0x20002260	float	
[891]	3.3199999333	0x20002264	float	
[892]	3.3199999333	0x20002268	float	
[893]	3.3199999333	0x2000226C	float	
[894]	3.3199999333	0x20002270	float	
[895]	3.3199999333	0x20002274	float	
[896]	3.3199999333	0x20002278	float	
[897]	3.3199999333	0x2000227C	float	
[898]	3.3199999333	0x20002280	float	
[899]	3.3199999333	0x20002284	float	
[900]	3.3199999333	0x20002288	float	
[901]	3.3199999333	0x2000228C	float	
[902]	3.3199999333	0x20002290	float	
[903]	3.3199999333	0x20002294	float	
[904]	3.3199999333	0x20002298	float	
[905]	3.3199999333	0x2000229C	float	
[906]	3.3199999333	0x200022A0	float	
[907]	3.3199999333	0x200022A4	float	
[908]	3.3199999333	0x200022A8	float	
[909]	3.3199999333	0x200022AC	float	
[910]	3.3199999333	0x200022B0	float	
[911]	3.3199999333	0x200022B4	float	
[912]	3.3199999333	0x200022B8	float	
[913]	3.3199999333	0x200022BC	float	
[914]	3.3199999333	0x200022C0	float	
[915]	3.3199999333	0x200022C4	float	
[916]	3.3199999333	0x200022C8	float	
[917]	3.3199999333	0x200022CC	float	
[918]	3.3199999333	0x200022D0	float	
[919]	3.3199999333	0x200022D4	float	
[920]	3.3199999333	0x200022D8	float	
[921]	3.3199999333	0x200022DC	float	
[922]	3.3199999333	0x200022E0	float	
[923]	3.3199999333	0x200022E4	float	
[924]	3.3199999333	0x200022E8	float	
[925]	3.3199999333	0x200022EC	float	
[926]	3.3199999333	0x200022F0	float	
[927]	3.3199999333	0x200022F4	float	
[928]	3.3199999333	0x200022F8	float	
[929]	3.3199999333	0x200022FC	float	
[930]	3.3199999333	0x20002300	float	
[931]	3.3199999333	0x20002304	float	
[932]	3.3199999333	0x20002308	float	
[933]	3.3199999333	0x2000230C	float	
[934]	3.3199999333	0x20002310	float	
[935]	3.3199999333	0x20002314	float	
[936]	3.3199999333	0x20002318	float	
[937]	3.3199999333	0x2000231C	float	
[938]	3.3199999333	0x20002320	float	
[939]	3.3199999333	0x20002324	float	
[940]	3.3199999333	0x20002328	float	
[941]	3.3199999333	0x2000232C	float	
[942]	3.3199999333	0x20002330	float	
[943]	3.3199999333	0x20002334	float	
[944]	3.3199999333	0x20002338	float	
[945]	3.3199999333	0x2000233C	float	
[946]	3.3199999333	0x20002340	float	
[947]	3.3199999333	0x20002344	float	
[948]	3.3199999333	0x20002348	float	
[949]	3.3199999333	0x2000234C	float	
[950]	3.3199999333	0x20002350	float	
[951]	3.3199999333	0x20002354	float	
[952]	3.3199999333	0x20002358	float	
[953]	3.3199999333	0x2000235C	float	
[954]	3.3199999333	0x20002360	float	
[955]	3.3199999333	0x20002364	float	
[956]	3.3199999333	0x20002368	float	
[957]	3.3199999333	0x2000236C	float	
[958]	3.3199999333	0x20002370	float	
[959]	3.3199999333	0x20002374	float	
[960]	3.3199999333	0x20002378	float	
[961]	3.3199999333	0x2000237C	float	
[962]	3.3199999333	0x20002380	float	
[963]	3.3199999333	0x20002384	float	
[964]	3.3199999333	0x20002388	float	
[965]	3.3199999333	0x2000238C	float	
[966]	3.3199999333	0x20002390	float	
[967]	3.3199999333	0x20002394	float	
[968]	3.3199999333	0x20002398	float	
[969]	3.3199999333	0x2000239C	float	
[970]	3.3199999333	0x200023A0	float	
[971]	3.3199999333	0x200023A4	float	
[972]	3.3199999333	0x200023A8	float	
[973]	3.3199999333	0x200023AC	float	
[974]	3.3199999333	0x200023B0	float	
[975]	3.3199999333	0x200023B4	float	
[976]	3.3199999333	0x200023B8	float	
[977]	3.3199999333	0x200023BC	float	
[978]	3.3199999333	0x200023C0	float	
[979]	3.3199999333	0x200023C4	float	
[980]	3.3199999333	0x200023C8	float	
[981]	3.3199999333	0x200023CC	float	
[982]	3.3199999333	0x200023D0	float	
[983]	3.3199999333	0x200023D4	float	
[984]	3.3199999333	0x200023D8	float	
[985]	3.3199999333	0x200023DC	float	
[986]	3.3199999333	0x200023E0	float	
[987]	3.3199999333	0x200023E4	float	
[988]	3.3199999333	0x200023E8	float	
[989]	3.3199999333	0x200023EC	float	
[990]	3.3199999333	0x200023F0	float	
[991]	3.3199999333	0x200023F4	float	
[992]	3.3199999333	0x200023F8	float	
[993]	3.3199999333	0x200023FC	float	
[994]	3.3199999333	0x20002400	float	
[995]	3.3199999333	0x20002404	float	
[996]	3.3199999333	0x20002408	float	
[997]	3.3199999333	0x2000240C	float	
[998]	3.3199999333	0x20002410	float	
[999]	3.3199999333	0x20002414	float	
[1000]	3.3199999333	0x20002418	float	
[1001]	3.3199999333	0x2000241C	float	
[1002]	3.3199999333	0x20002420	float	
[1003]	3.3199999333	0x20002424	float	
[1004]	3.3199999333	0x20002428	float	
[1005]	3.3199999333	0x2000242C	float	
[1006]	3.3199999333	0x20002430	float	
[1007]	3.3199999333	0x20002434	float	
[1008]	3.3199999333	0x20002438	float	
[1009]	3.3199999333	0x2000243C	float	
[1010]	3.3199999333	0x20002440	float	
[1011]	3.3199999333	0x20002444	float	
[1012]	3.3199999333	0x20002448	float	
[1013]	3.3199999333	0x2000244C	float	
[1014]	3.3199999333	0x20002450	float	
[1015]	3.3199999333	0x20002454	float	
[1016]	3.3199999333	0x20002458	float	
[1017]	3.3199999333	0x2000245C	float	
[1018]	3.3199999333	0x20002460	float	
[1019]	3.3199999333	0x20002464	float	
[1020]	3.3199999333	0x20002468	float	
[1021]	3.3199999333	0x2000246C	float	
[1022]	3.3199999333	0x20002470	float	
[1023]	3.3199999333	0x20002474	float	
[1024]	3.3199999333	0x20002478	float	
[1025]	3.3199999333	0x2000247C	float	
[1026]	3.3199999333	0x20002480	float	
[1027]	3.3199999333	0x20002484	float	
[1028]	3.3199999333	0x20002488	float	
[1029]	3.3199999333	0x2000248C	float	
[1030]	3.3199999333	0x20002490	float	
[1031]	3.3199999333	0x20002494	float	
[1032]	3.3199999333	0x20002498	float	
[1033]	3.3199999333	0x2000249C	float	
[1034]	3.3199999333	0x200024A0	float	
[1035]	3.3199999333	0x200024A4	float	
[1036]	3.3199999333	0x200024A8	float	
[1037]	3.3199999333	0x200024AC	float	
[1038]	3.3199999333	0x200024B0	float	
[1039]	3.3199999333	0x200024B4	float	
[1040]	3.3199999333	0x200024B8	float	
[1041]	3.3199999333	0x200024BC	float	
[1042]	3.3199999333	0x200024C0	float	
[1043]	3.3199999333	0x200024C4	float	
[1044]	3.3199999333	0x200024C8	float	
[1045]	3.3199999333	0x200024CC	float	
[1046]	3.3199999333	0x200024D0	float	
[1047]	3.3199999333	0x200024D4	float	
[1048]	3.3199999333	0x200024D8	float	
[1049]	3.3199999333	0x200024DC	float	
[1050]	3.3199999333	0x200024E0	float	
[1051]	3.3199999333	0x200024E4	float	
[1052]	3.3199999333	0x200024E8	float	
[1053]	3.3199999333	0x200024EC	float	
[1054]	3.3199999333	0x200024F0	float	
[1055]	3.3199999333	0x200024F4	float	
[1056]	3.3199999333	0x200024F8	float	
[1057]	3.3199999333	0x200024FC	float	
[1058]	3.3199999333	0x20002500	float	
[1059]	3.3199999333	0x20002504	float	
[1060]	3.3199999333	0x20002508	float	
[1061]	3.3199999333	0x2000250C	float	
[1062]	3.3199999333	0x20002510	float	
[1063]	3.3199999333	0x20002514	float	
[1064]	3.3199999333	0x20002518	float	
[1065]	3.3199999333	0x2000251C	float	
[1066]	3.3199999333	0x20002520	float	
[1067]	3.3199999333	0x20002524	float	
[1068]	3.3199999333	0x20002528	float	
[1069]	3.3199999333	0x2000252C	float	
[1070]	3.3199999333	0x20002530	float	
[1071]	3.3199999333	0x20002534	float	
[1072]	3.3199999333	0x20002538	float	
[1073]	3.3199999333	0x2000253C	float	
[1074]	3.3199999333	0x20002540	float	
[1075]	3.3199999333	0x20002544	float	
[1076]	3.3199999333	0x20002548	float	
[1077]	3.3199999333	0x2000254C	float	
[1078]	3.3199999333	0x20002550	float	
[1079]	3.3199999333	0x20002554	float	
[1080]	3.3199999333	0x20002558	float	
[1081]	3.3199999333	0x2000255C	float	
[1082]	3.3199999333	0x20002560	float	
[1083]	3.3199999333	0x20002564	float	
[1084]	3.3199999333	0x20002568	float	
[1085]	3.3199999333	0x2000256C	float	
[1086]	3.3199999333	0x20002570	float	
[1087]	3.3199999333	0x20002574	float	
[1088]	3.3199999333	0x20002578	float	
[1089]	3.3199999333	0x2000257C	float	
[1090]	3.3199999333	0x20002580	float	
[1091]	3.3199999333	0x20002584	float	
[1092]	3.3199999333	0x20002588	float	
[1093]	3.3199999333	0x2000258C	float	
[1094]	2.98000002	0x20002590	float	
[1095]	2.98000002	0x20002594	float	
[1096]	2.98000002	0x20002598	float	
[1097]	2.98000002	0x2000259C	float	
[1098]	2.98000002	0x200025A0	float	
[1099]	2.98000002	0x200025A4	float	
[1100]	2.98000002	0x200025A8	float	
[1101]	2.98000002	0x200025AC	float	
[1102]	2.98000002	0x200025B0	float	
[1103]	2.98000002	0x200025B4	float	
[1104]	2.98000002	0x200025B8	float	
[1105]	2.98000002	0x200025BC	float	
[1106]	2.98000002	0x200025C0	float	
[1107]	2.98000002	0x200025C4	float	
[1108]	2.98000002	0x200025C8	float	
[1109]	2.98000002	0x200025CC	float	
[1110]	2.98000002	0x200025D0	float	
[1111]	2.98000002	0x200025D4	float	
[1112]	2.98000002	0x200025D8	float	
[1113]	2.98000002	0x200025DC	float	
[1114]	2.98000002	0x200025E0	float	
[1115]	2.98000002	0x200025E4	float	
[1116]	2.98000002	0x200025E8	float	
[1117]	2.98000002	0x200025EC	float	
[1118]	2.98000002	0x200025F0	float	
[1119]	2.98000002	0x200025F4	float	
[1120]	2.98000002	0x200025F8	float	
[1121]	2.98000002	0x200025FC	float	
[1122]	2.98000002	0x20002600	float	
[1123]	2.98000002	0x20002604	float	
[1124]	2.98000002	0x20002608	float	
[1125]	2.98000002	0x2000260C	float	
[1126]	2.98000002	0x20002610	float	
[1127]	2.98000002	0x20002614	float	
[1128]	2.98000002	0x20002618	float	
[1129]	2.98000002	0x2000261C	float	
[1130]	2.98000002	0x20002620	float	
[1131]	2.98000002	0x20002624	float	
[1132]	2.98000002	0x20002628	float	
[1133]	2.98000002	0x2000262C	float	
[1134]	2.98000002	0x20002630	float	
[1135]	2.98000002	0x20002634	float	
[1136]	2.98000002	0x20002638	float	
[1137]	2.98000002	0x2000263C	float	
[1138]	2.98000002	0x20002640	float	
[1139]	2.98000002	0x20002644	float	
[1140]	2.98000002	0x20002648	float	
[1141]	2.98000002	0x2000264C	float	
[1142]	2.98000002	0x20002650	float	
[1143]	2.98000002	0x20002654	float	
[1144]	2.98000002	0x20002658	float	
[1145]	2.98000002	0x2000265C	float	
[1146]	2.98000002	0x20002660	float	
[1147]	2.98000002	0x20002664	float	
[1148]	2.98000002	0x20002668	float	
[1149]	2.98000002	0x2000266C	float	
[1150]	2.98000002	0x20002670	float	
[1151]	2.98000002	0x20002674	float	
[1152]	2.98000002	0x20002678	float	
[1153]	2.98000002	0x2000267C	float	
[1154]	2.98000002	0x20002680	float	
[1155]	2.98000002	0x20002684	float	
[1156]	2.98000002	0x20002688	float	
[1157]	2.98000002	0x2000268C	float	
[1158]	2.98000002	0x20002690	float	
[1159]	2.98000002	0x20002694	float	
[1160]	2.98000002	0x20002698	float	
[1161]	2.98000002	0x2000269C	float	
[1162]	2.98000002	0x200026A0	float	
[1163]	2.98000002	0x200026A4	float	
[1164]	2.98000002	0x200026A8	float	
[1165]	2.98000002	0x200026AC	float	
[1166]	2.98000002	0x200026B0	float	
[1167]	2.98000002	0x200026B4	float	
[1168]	2.98000002	0x200026B8	float	
[1169]	2.98000002	0x200026BC	float	
[1170]	2.98000002	0x200026C0	float	
[1171]	2.98000002	0x200026C4	float	
[1172]	2.98000002	0x200026C8	float	
[1173]	2.98000002	0x200026CC	float	
[1174]	2.98000002	0x200026D0	float	
[1175]	2.98000002	0x200026D4	float	
[1176]	2.98000002	0x200026D8	float	
[1177]	2.98000002	0x200026DC	float	
[1178]	2.98000002	0x200026E0	float	
[1179]	2.98000002	0x200026E4	float	
[1180]	2.98000002	0x200026E8	float	
[1181]	2.98000002	0x200026EC	float	
[1182]	2.98000002	0x200026F0	float	
[1183]	2.98000002	0x200026F4	float	
[1184]	2.98000002	0x200026F8	float	
[1185]	2.98000002	0x200026FC	float	
[1186]	2.98000002	0x20002700	float	
[1187]	2.98000002	0x20002704	float	
[1188]	2.98000002	0x20002708	float	
[1189]	2.98000002	0x2000270C	float	
[1190]	2.98000002	0x20002710	float	
[1191]	2.98000002	0x20002714	float	
[1192]	2.98000002	0x20002718	float	
[1193]	2.98000002	0x2000271C	float	
[1194]	2.98000002	0x20002720	float	
[1195]	2.98000002	0x20002724	float	
[1196]	2.98000002	0x20002728	float	
[1197]	2.98000002	0x2000272C	float	
[1198]	2.98000002	0x20002730	float	
[1199]	2.98000002	0x20002734	float	
[1200]	2.98000002	0x20002738	float	
[1201]	2.98000002	0x2000273C	float	
[1202]	2.98000002	0x20002740	float	
[1203]	2.98000002	0x20002744	float	
[1204]	2.98000002	0x20002748	float	
[1205]	2.98000002	0x2000274C	float	
[1206]	2.98000002	0x20002750	float	
[1207]	2.98000002	0x20002754	float	
[1208]	2.98000002	0x20002758	float	
[1209]	2.98000002	0x2000275C	float	
[1210]	2.98000002	0x20002760	float	
[1211]	2.98000002	0x20002764	float	
[1212]	2.98000002	0x20002768	float	
[1213]	2.98000002	0x2000276C	float	
[1214]	2.98000002	0x20002770	float	
[1215]	2.98000002	0x20002774	float	
[1216]	2.98000002	0x20002778	float	
[1217]	2.98000002	0x2000277C	float	
[1218]	2.98000002	0x20002780	float	
[1219]	2.98000002	0x20002784	float	
[1220]	2.98000002	0x20002788	float	
[1221]	2.98000002	0x2000278C	float	
[1222]	2.98000002	0x20002790	float	
[1223]	2.98000002	0x20002794	float	
[1224]	2.98000002	0x20002798	float	
[1225]	2.98000002	0x2000279C	float	
[1226]	2.98000002	0x200027A0	float	
[1227]	2.98000002	0x200027A4	float	
[1228]	2.98000002	0x200027A8	float	
[1229]	2.98000002	0x200027AC	float	
[1230]	2.98000002	0x200027B0	float	
[1231]	2.98000002	0x200027B4	float	
[1232]	2.98000002	0x200027B8	float	
[1233]	2.98000002	0x200027BC	float	
[1234]	2.98000002	0x200027C0	float	
[1235]	2.98000002	0x200027C4	float	
[1236]	2.98000002	0x200027C8	float	
[1237]	2.98000002	0x200027CC	float	
[1238]	2.98000002	0x200027D0	float	
[1239]	2.98000002	0x200027D4	float	
[1240]	2.98000002	0x200027D8	float	
[1241]	2.98000002	0x200027DC	float	
[1242]	2.98000002	0x200027E0	float	
[1243]	2.98000002	0x200027E4	float	
[1244]	2.98000002	0x200027E8	float	
[1245]	2.98000002	0x200027EC	float	
[1246]	2.98000002	0x200027F0	float	
[1247]	2.98000002	0x200027F4	float	
[1248]	2.98000002	0x200027F8	float	
[1249]	2.98000002	0x200027FC	float	
[1250]	2.98000002	0x20002800	float	
[1251]	2.98000002	0x20002804	float	
[1252]	2.98000002	0x20002808	float	
[1253]	2.98000002	0x2000280C	float	
[1254]	2.98000002	0x20002810	float	
[1255]	2.98000002	0x20002814	float	
[1256]	2.98000002	0x20002818	float	
[1257]	2.98000002	0x2000281C	float	
[1258]	2.98000002	0x20002820	float	
[1259]	2.98000002	0x20002824	float	
[1260]	2.98000002	0x20002828	float	
[1261]	2.98000002	0x2000282C	float	
[1262]	2.98000002	0x20002830	float	
[1263]	2.98000002	0x20002834	float	
[1264]	2.98000002	0x20002838	float	
[1265]	2.98000002	0x2000283C	float	
[1266]	2.98000002	0x20002840	float	
[1267]	2.98000002	0x20002844	float	
[1268]	2.98000002	0x20002848	float	
[1269]	2.98000002	0x2000284C	float	
[1270]	2.98000002	0x20002850	float	
[1271]	2.98000002	0x20002854	float	
[1272]	2.98000002	0x20002858	float	
[1273]	2.98000002	0x2000285C	float	
[1274]	2.98000002	0x20002860	float	
[1275]	2.98000002	0x20002864	float	
[1276]	2.98000002	0x20002868	float	
[1277]	2.98000002	0x2000286C	float	
[1278]	2.98000002	0x20002870	float	
[1279]	2.98000002	0x20002874	float	
[1280]	2.98000002	0x20002878	float	
[1281]	2.98000002	0x2000287C	float	
[1282]	2.98000002	0x20002880	float	
[1283]	2.98000002	0x20002884	float	
[1284]	2.98000002	0x20002888	float	
[1285]	2.98000002	0x2000288C	float	
[1286]	2.98000002	0x20002890	float	
[1287]	2.98000002	0x20002894	float	
[1288]	2.98000002	0x20002898	float	
[1289]	2.98000002	0x2000289C	float	
[1290]	2.98000002	0x200028A0	float	
[1291]	2.98000002	0x200028A4	float	
[1292]	2.98000002	0x200028A8	float	
[1293]	2.98000002	0x200028AC	float	
[1294]	2.98000002	0x200028B0	float	
[1295]	2.98000002	0x200028B4	float	
